         341098 function calls (251026 primitive calls) in 2.045 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.008    0.004 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\motion_types_widget.py:50(_setup_button_frame)
        2    0.008    0.004    0.008    0.004 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\motion_types_widget.py:121(_create_button)
        2    0.000    0.000    0.007    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:167(_setup_button_frame)
     1952    0.003    0.000    0.007    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:383(__setitem__)
       52    0.000    0.000    0.007    0.000 f:\CODE\tka-handpath-constructor\objects\prop.py:271(update_appearance)
        1    0.000    0.000    0.007    0.007 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\arrowbox\arrowbox.py:60(populate_arrows)
        2    0.006    0.003    0.006    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:188(_create_button)
        3    0.006    0.002    0.006    0.002 f:\CODE\tka-handpath-constructor\objects\grid.py:43(__init__)
        1    0.000    0.000    0.006    0.006 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\propbox\propbox.py:34(__init__)
        2    0.000    0.000    0.005    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\motion_types_widget.py:71(_setup_motion_type_box_frame)
        1    0.000    0.000    0.005    0.005 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictogaph_init.py:95(init_ghost_arrows)
        2    0.000    0.000    0.005    0.003 f:\CODE\tka-handpath-constructor\objects\ghosts\ghost_arrow.py:27(__init__)
        2    0.000    0.000    0.005    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\propbox\propbox.py:70(populate_props)
        1    0.000    0.000    0.005    0.005 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictogaph_init.py:56(init_grid)
    31171    0.004    0.000    0.004    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       75    0.004    0.000    0.004    0.000 {built-in method setStyleSheet}
       54    0.000    0.000    0.004    0.000 f:\CODE\tka-handpath-constructor\objects\prop.py:372(set_svg_color)
       10    0.000    0.000    0.004    0.000 f:\CODE\tka-handpath-constructor\objects\prop.py:419(__init__)
        1    0.000    0.000    0.004    0.004 f:\CODE\tka-handpath-constructor\widgets\graph_editor\pictograph\pictogaph_init.py:126(init_ghost_props)
        2    0.000    0.000    0.004    0.002 f:\CODE\tka-handpath-constructor\objects\ghosts\ghost_prop.py:25(__init__)
        2    0.000    0.000    0.003    0.002 f:\CODE\tka-handpath-constructor\objects\prop.py:443(__init__)
        2    0.000    0.000    0.003    0.002 f:\CODE\tka-handpath-constructor\objects\prop.py:425(__init__)
        1    0.000    0.000    0.003    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\vtg_panel.py:93(__init__)
        1    0.003    0.003    0.003    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\vtg_panel.py:99(setup_info_panel)
       22    0.000    0.000    0.003    0.000 f:\CODE\tka-handpath-constructor\objects\prop.py:41(_setup_attributes)
        2    0.000    0.000    0.003    0.002 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\motion_types_widget.py:107(_setup_motion_type_box)
        2    0.000    0.000    0.003    0.002 f:\CODE\tka-handpath-constructor\objects\prop.py:437(__init__)
        2    0.000    0.000    0.003    0.002 f:\CODE\tka-handpath-constructor\objects\prop.py:449(__init__)
        2    0.000    0.000    0.003    0.002 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\header_widget.py:114(_setup_buttons)
       70    0.003    0.000    0.003    0.000 {built-in method load}
        4    0.003    0.001    0.003    0.001 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\header_widget.py:135(_create_button)
       22    0.000    0.000    0.003    0.000 f:\CODE\tka-handpath-constructor\objects\graphical_object.py:77(update_attributes)
        2    0.000    0.000    0.003    0.001 f:\CODE\tka-handpath-constructor\objects\prop.py:431(__init__)
        1    0.000    0.000    0.003    0.003 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\propbox\propbox.py:137(change_prop_type)
       73    0.002    0.000    0.002    0.000 {built-in method setFont}
       18    0.000    0.000    0.002    0.000 f:\CODE\tka-handpath-constructor\objects\grid.py:50(get_circle_coordinates)
    34375    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      123    0.002    0.000    0.002    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.002    0.001 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:103(_setup_start_end_box)
        8    0.000    0.000    0.002    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\object_panel\propbox\propbox.py:126(set_prop_position)
        6    0.002    0.000    0.002    0.000 {built-in method addItems}
       33    0.000    0.000    0.002    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:274(load)
     3022    0.002    0.000    0.002    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:833(__setattr__)
       10    0.000    0.000    0.002    0.000 f:\CODE\tka-handpath-constructor\objects\arrow.py:70(_setup_attributes)
       14    0.002    0.000    0.002    0.000 {built-in method setLayout}
        4    0.000    0.000    0.002    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\start_end_widget.py:198(_create_box_with_header_frame)
        1    0.000    0.000    0.002    0.002 f:\CODE\tka-handpath-constructor\utilities\export_handler.py:17(__init__)
       47    0.002    0.000    0.002    0.000 {built-in method render}
     2141    0.000    0.000    0.002    0.000 {built-in method builtins.setattr}
      124    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.002    0.002 f:\CODE\tka-handpath-constructor\utilities\export_handler.py:25(export_to_png)
       18    0.000    0.000    0.002    0.000 f:\CODE\tka-handpath-constructor\objects\graphical_object.py:46(set_svg_color)
        1    0.000    0.000    0.001    0.001 f:\CODE\tka-handpath-constructor\widgets\sequence\sequence.py:12(__init__)
        2    0.000    0.000    0.001    0.001 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\turns_widget.py:19(__init__)
        2    0.000    0.000    0.001    0.001 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\turns_widget.py:26(_init_ui)
        2    0.000    0.000    0.001    0.001 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\motion_types_widget.py:88(_setup_type_header_frame)
        1    0.001    0.001    0.001    0.001 f:\CODE\tka-handpath-constructor\widgets\sequence\sequence_beats.py:20(__init__)
     2034    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
       33    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\json\__init__.py:299(loads)
    11312    0.001    0.000    0.001    0.000 {built-in method _json.encode_basestring}
       33    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:332(decode)
      126    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:500(__prepare__)
        2    0.000    0.000    0.001    0.001 f:\CODE\tka-handpath-constructor\objects\grid.py:64(init_points)
        2    0.000    0.000    0.001    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\turns_widget.py:44(_create_buttons)
     1952    0.001    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:79(_is_private)
       16    0.000    0.000    0.001    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\custom_button.py:18(__init__)
       33    0.001    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\json\decoder.py:343(raw_decode)
     8675    0.001    0.000    0.001    0.000 {method 'get' of 'mappingproxy' objects}
        8    0.000    0.000    0.001    0.000 f:\CODE\tka-handpath-constructor\widgets\graph_editor\attr_panel\attr_box_widgets\turns_widget.py:147(_create_turns_button)
     2034    0.001    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:768(__delattr__)
      378    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:950(_get_mixins_)
       47    0.001    0.000    0.001    0.000 {built-in method fill}
      113    0.000    0.000    0.001    0.000 f:\CODE\tka-handpath-constructor\widgets\main_widget.py:44(eventFilter)
       21    0.000    0.000    0.001    0.000 {built-in method palette}
     1574    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:38(_is_descriptor)
       18    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\xml\etree\ElementTree.py:1310(XML)
9755/9749    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 f:\CODE\tka-handpath-constructor\objects\grid.py:75(init_handpoints)
     1574    0.001    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:246(__init__)
     6316    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       70    0.001    0.000    0.001    0.000 {method 'connect' of 'PyQt6.QtCore.pyqtBoundSignal' objects}
     1826    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:48(_is_dunder)
      378    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:991(_find_data_type_)
     1952    0.000    0.000    0.001    0.000 C:\Users\Austen\AppData\Local\Programs\Python\Python312\Lib\enum.py:59(_is_sunder)
        6    0.001    0.000    0.001    0.000 {built-in method scaled}
       18    0.000    0.000    0.001    0.000 {method 'feed' of 'xml.etree.ElementTree.XMLParser' objects}
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\widgets\main_widget.py:52(resizeEvent)
        1    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\grid.py:80(init_layer2_points)
      113    0.000    0.000    0.000    0.000 {built-in method type}
     3004    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
     3915    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       32    0.000    0.000    0.000    0.000 f:\CODE\tka-handpath-constructor\objects\graphical_object.py:36(setup_graphics_flags)
       19    0.000    0.000    0.000    0.000 {method 'find' of 'xml.etree.ElementTree.Element' objects}
